VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   38   516.970    30.981  0.127  0.005    7.475  119.418  4480.909  7254.195   8.764   1.966   25.717   40.546  511  523   30   32 +2.877694e+06 +1.013760e+04 +4.127868e+07 0.00000 1 None   31    1
   39   554.199    32.216  0.112  0.008    7.293  118.999  4371.666  7228.720   6.677   2.080   19.592   42.908  549  559   31   33 +2.408396e+06 +1.043259e+04 +3.195536e+07 0.00000 1 None   32    1
   40   292.152    32.983  0.128  0.009    8.576  118.739  5140.610  7212.914   7.803   2.580   22.897   53.203  286  298   31   35 +2.539818e+06 +1.011331e+04 +6.447151e+07 0.00000 1 None   33    2
   41   393.360    35.286  0.160  0.012    8.080  117.957  4843.626  7165.401   5.947   2.117   17.450   43.672  389  397   34   36 +1.821224e+06 +1.067599e+04 +2.112093e+07 0.00000 1 None   34    1
   42   513.287    34.651  0.179  0.012    7.493  118.173  4491.716  7178.513   7.131   2.193   20.926   45.230  508  518   34   36 +2.109298e+06 +1.073701e+04 +2.956720e+07 0.00000 1 None   35    1
   43   215.268    36.228  0.251  0.009    8.952  117.637  5366.218  7145.969   8.719   2.072   25.584   42.734  210  221   35   37 +2.053891e+06 +1.040636e+04 +3.125452e+07 0.00000 1 None   36    1
   44   263.567    36.557  0.307  0.016    8.716  117.525  5224.490  7139.199   7.779   2.260   22.827   46.612  258  269   36   38 +1.979125e+06 +1.102838e+04 +2.946520e+07 0.00000 1 None   37    1
   45   445.117    38.237  0.141  0.008    7.827  116.955  4691.752  7104.532   8.087   2.083   23.729   42.958  439  451   37   39 +2.500881e+06 +1.041967e+04 +3.690799e+07 0.00000 1 None   38    1
   46   375.058    39.920  0.092  0.006    8.170  116.383  4897.334  7069.820   6.854   2.036   20.111   42.000  370  380   39   41 +2.496176e+06 +1.022182e+04 +3.355354e+07 0.00000 1 None   39    1
   47   557.117    41.244  0.180  0.009    7.279  115.934  4363.102  7042.527   8.449   2.072   24.792   42.744  552  562   40   42 +2.140081e+06 +1.042857e+04 +3.041889e+07 0.00000 1 None   40    1
   48   256.384    42.331  0.186  0.009    8.751  115.565  5245.568  7020.101   7.435   2.115   21.817   43.623  251  261   41   43 +2.587150e+06 +1.072016e+04 +3.526673e+07 0.00000 1 None   41    2
   49   527.833    42.433  0.089  0.011    7.422  115.530  4449.032  7018.009   6.185   2.250   18.150   46.402  523  533   41   44 +2.769103e+06 +1.100988e+04 +3.800718e+07 0.00000 1 None   42    1
   50   347.958    43.388  0.146  0.014    8.303  115.206  4976.856  6998.294   7.374   2.199   21.639   45.357  343  353   42   44 +2.038442e+06 +1.082782e+04 +2.839576e+07 0.00000 1 None   43    1
   51   418.489    43.470  0.080  0.008    7.957  115.178  4769.891  6996.608   5.684   2.255   16.678   46.509  414  422   42   45 +4.541888e+06 +1.130666e+04 +5.317044e+07 0.00000 1 None   44    1
   52   479.659    44.013  0.087  0.004    7.658  114.994  4590.395  6985.408   6.080   2.006   17.841   41.377  476  484   43   45 +3.131329e+06 +1.030452e+04 +3.575161e+07 0.00000 1 None   45    1
   53   138.728    44.984  0.184  0.008    9.327  114.664  5590.816  6965.376   6.936   2.009   20.352   41.445  134  144   44   46 +1.705010e+06 +1.022580e+04 +2.281926e+07 0.00000 1 None   46    1
   54   260.321    45.654  0.333  0.014    8.732  114.437  5234.015  6951.562   8.535   2.143   25.044   44.207  255  265   45   47 +1.723107e+06 +1.069924e+04 +2.476490e+07 0.00000 1 None   41    2
   55   300.132    47.831  0.069  0.007    8.537  113.698  5117.194  6906.671   5.770   2.062   16.931   42.535  296  304   47   49 +2.590863e+06 +1.039256e+04 +2.924004e+07 0.00000 1 None   47    1
   56   554.332    51.560  0.084  0.024    7.292  112.432  4371.275  6829.765   4.302   2.600   12.624   53.633  551  557   50   53 +1.815179e+06 +1.097707e+04 +1.956732e+07 0.00000 1 None   48    1
   57   649.387    51.526  0.113  0.021    6.827  112.443  4092.346  6830.461   5.490   2.741   16.111   56.529  645  653   50   54 +2.410721e+06 +1.091837e+04 +4.337431e+07 0.00000 1 None   49    5
