REMARK ROI 2D Peak Detection System, File: HN.N15.dat
REMARK Detection Levels: -516197 and 516197
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 798.124, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.0) Y(2.0)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(0.0Hz)
REMARK Total Peaks: 72, Good Peaks: 72, Questionable Peaks: 0
REMARK Clusters: 58, Max Cluster Size: 5
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS HN           1   922    9.998ppm    5.490ppm
DATA  Y_AXIS N15          1    66  129.043ppm  106.974ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

  33   435.398    28.172  0.007  0.000    7.872  119.818  4718.537  7278.422   7.376   1.901   21.644   39.214  430  440   27   29  3.633214e+06  6.170667e+02  5.376515e+07 0.00000 1 None   27    2
  34   786.069    28.039  0.006  0.000    6.155  119.863  3689.533  7281.157   7.219   1.827   21.183   37.689  782  791   27   29  2.469188e+06  6.070588e+02  2.809899e+07 0.00000 1 None   28    1
  35   158.161    29.908  0.011  0.000    9.229  119.228  5532.056  7242.598   8.855   1.888   25.984   38.945  153  163   29   31  2.311674e+06  6.047325e+02  3.134185e+07 0.00000 1 None   29    1
  36   403.577    29.879  0.004  0.000    8.028  119.238  4811.911  7243.207   6.033   1.876   17.703   38.691  400  408   29   31  4.280264e+06  6.200975e+02  4.327866e+07 0.00000 1 None   30    1
  37   517.142    30.976  0.007  0.000    7.472  118.865  4478.668  7220.578   9.428   1.713   27.666   35.333  512  522   30   32  3.802014e+06  6.029359e+02  4.321804e+07 0.00000 1 None   31    1
  38   293.119    32.375  0.017  0.001    8.568  118.390  5136.035  7191.723   6.824   2.261   20.023   46.632  288  298   31   34  2.726881e+06  6.622631e+02  5.719935e+07 0.00000 1 None   32    3
  39   554.279    32.154  0.007  0.000    7.290  118.465  4369.693  7196.292   7.097   1.847   20.826   38.087  549  559   31   33  2.967067e+06  6.161349e+02  3.469768e+07 0.00000 1 None   33    1
  40   285.000    33.133  0.291  0.000    8.608  118.133  5159.861  7176.098  18.789   1.942   55.135   40.046  279  298   32   34  2.524403e+06  6.190308e+02  8.649292e+07 0.00000 1 None   32    3
  41   292.453    32.899  0.012  0.001    8.572  118.212  5137.992  7180.916   7.678   3.130   22.530   64.556  287  297   32   34  2.575490e+06  6.040792e+02  5.614672e+07 0.00000 1 None   32    3
  42   393.478    35.267  0.011  0.001    8.077  117.408  4841.545  7132.076   6.136   2.040   18.006   42.075  390  397   35   36  1.983515e+06  6.331121e+02  1.917064e+07 0.00000 1 None   34    1
  43   513.183    34.739  0.008  0.000    7.491  117.588  4490.285  7142.963   7.214   1.965   21.170   40.525  509  518   34   35  2.338767e+06  6.253674e+02  2.670908e+07 0.00000 1 None   35    1
  44   215.253    36.239  0.013  0.001    8.949  117.078  5364.524  7112.039   8.507   2.032   24.963   41.911  210  221   35   37  2.157570e+06  6.190747e+02  3.221598e+07 0.00000 1 None   36    1
  45   263.725    36.558  0.013  0.001    8.712  116.970  5222.289  7105.444   7.830   2.242   22.977   46.250  259  268   36   37  2.088889e+06  6.517244e+02  2.680665e+07 0.00000 1 None   37    1
  46   445.102    38.185  0.007  0.000    7.824  116.418  4690.060  7071.900   8.516   1.915   24.990   39.493  440  450   37   39  3.077626e+06  6.140488e+02  4.037600e+07 0.00000 1 None   38    1
  47   375.208    39.941  0.006  0.000    8.166  115.821  4895.157  7035.671   7.340   1.822   21.540   37.569  371  380   39   41  2.911652e+06  6.080364e+02  3.377688e+07 0.00000 1 None   39    1
  48   557.166    41.202  0.010  0.000    7.276  115.393  4361.223  7009.674   8.446   1.925   24.783   39.706  552  562   41   42  2.453177e+06  6.156280e+02  2.870710e+07 0.00000 1 None   40    1
  49   256.438    42.221  0.012  0.000    8.748  115.047  5243.674  6988.662   7.773   1.826   22.809   37.660  251  262   42   43  3.174754e+06  6.292401e+02  3.605700e+07 0.00000 1 None   41    2
  50   527.859    42.399  0.004  0.000    7.419  114.987  4447.221  6984.986   6.183   2.155   18.143   44.438  523  533   42   43  3.285846e+06  6.488039e+02  3.787671e+07 0.00000 1 None   42    1
  51   348.097    43.356  0.008  0.001    8.299  114.662  4974.709  6965.247   7.521   2.109   22.069   43.502  344  353   43   44  2.240310e+06  6.373253e+02  2.687751e+07 0.00000 1 None   43    1
  52   418.485    43.466  0.004  0.000    7.955  114.625  4768.164  6962.980   5.734   2.221   16.825   45.801  414  422   42   44  5.050100e+06  6.691395e+02  5.487414e+07 0.00000 1 None   44    1
  53   479.731    44.005  0.004  0.000    7.655  114.442  4588.447  6951.854   6.511   1.798   19.106   37.085  475  485   43   45  4.014650e+06  6.109243e+02  4.266333e+07 0.00000 1 None   45    1
  54   138.669    44.984  0.011  0.000    9.324  114.109  5589.251  6931.656   7.257   1.856   21.295   38.289  134  143   44   46  2.030780e+06  6.074506e+02  2.417585e+07 0.00000 1 None   46    1
  55   260.551    45.758  0.025  0.000    8.728  113.846  5231.603  6915.705   9.038   1.865   26.520   38.471  255  265   45   46  2.077082e+06  6.250502e+02  2.469615e+07 0.00000 1 None   41    2
  56   300.258    47.861  0.005  0.000    8.533  113.132  5115.088  6872.326   6.079   1.903   17.838   39.256  296  304   47   49  2.845548e+06  6.168073e+02  2.979086e+07 0.00000 1 None   47    1
  57   554.466    51.433  0.006  0.001    7.289  111.920  4369.145  6798.653   4.717   2.200   13.841   45.367  552  557   51   53  2.280110e+06  6.715866e+02  2.118936e+07 0.00000 1 None   48    1
  58   649.373    51.444  0.006  0.001    6.824  111.916  4090.650  6798.430   5.587   2.233   16.394   46.058  645  653   51   53  2.978516e+06  6.571516e+02  3.799261e+07 0.00000 1 None   49    5
  59   459.068    52.644  0.002  0.001    7.756  111.509  4649.078  6773.687   4.334   2.599   12.717   53.600  456  462   52   54  2.754735e+06  6.315184e+02  2.819070e+07 0.00000 1 None   50    1
